path,filename,title,year,source,url,priority,notes,date_label,doc_type,jurisdiction,authority_rank,court,case_number
/Users/pierre-emmanuelros/Documents/UCFC - U Chjucu Fiscalistu Corsu/data_fiscale/pdf/ucfc_pdf_inbox/batch_004/celex_62002cj0255.pdf,celex_62002cj0255.pdf,celex 62002cj0255,,EUR-Lex,https://eur-lex.europa.eu/legal-content/FR/TXT/PDF/?uri=CELEX:62002CJ0255&from=FR,high,,,jurisprudence,UE,70,,
/Users/pierre-emmanuelros/Documents/UCFC - U Chjucu Fiscalistu Corsu/data_fiscale/pdf/ucfc_pdf_inbox/batch_004/celex_62004cj0196.pdf,celex_62004cj0196.pdf,celex 62004cj0196,,EUR-Lex,https://eur-lex.europa.eu/legal-content/FR/TXT/PDF/?uri=CELEX:62004CJ0196&from=FR,high,,,jurisprudence,UE,70,,
